資料名,資料名（ヨミ）,コレクション名,言語,種別,編著者,編著者（ヨミ）,発行者,出版地,刊行年、書写年等,刊行年月日（西暦),形態,内容記述,Alternative Title,Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
醫學質驗五種産科發蒙 6巻 2-3巻,イガク シツケン ゴシュ サンカ ハツモウ|Igaku shitsuken goshu sanka hatsumo,古典籍コレクション [医学図書館],日本語,和古書,"片倉 鶴陵著|源 周碩, 谷井敬英, 伊達周禎同校|今村長順, 谷井敬英, 伊達周禎仝校(4-7巻)","カタクラ, カクリョウ|ミナモト, シュウセキ タニイ, ノリヒデ ダテ, シュウテイ イマムラ, ナガヨリ",和泉屋金右衛門|須原屋伊八|須原屋茂兵衛,,文政5 [1822] 像賛,1822,"4冊, 26cm","請求記号: HR:164|巻尾及び序の書名: 産科發蒙|序の書名: 治産外科|見返し及び題簽の書名: 醫學質驗義集産科發蒙|版心の書名: 醫學質驗産科發蒙|4-6巻: 今村長順, 谷井敬英, 伊達周禎仝校|見返しに「江戸書林 玉巖堂發行」とあり(「江都横山街玉巖堂精選古今書籍發兌」の朱印あり)|版心下部に「靜儉堂」とあり|奥付に「寛政十一年己未夏五月」とあり|四周単辺有界9行22字、単魚尾|訓点付|巻末に「玉巖堂藏梓目録」(和泉屋金右衛門)を附す|『醫學質驗』義集|印記: 「□田氏藏書印」",,産科發蒙,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c01de1fb-5036-5c65-75d6-856b22513b2a.json,c01de1fb-5036-5c65-75d6-856b22513b2a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/c01de1fb-5036-5c65-75d6-856b22513b2a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f03687fc9f62423bbe684441171db5ff0e901ea1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183373,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,225,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c01de1fb-5036-5c65-75d6-856b22513b2a/manifest,,,,,66
醫學質驗五種産科發蒙 6巻 4巻,イガク シツケン ゴシュ サンカ ハツモウ|Igaku shitsuken goshu sanka hatsumo,古典籍コレクション [医学図書館],日本語,和古書,"片倉 鶴陵著|源 周碩, 谷井敬英, 伊達周禎同校|今村長順, 谷井敬英, 伊達周禎仝校(4-8巻)","カタクラ, カクリョウ|ミナモト, シュウセキ タニイ, ノリヒデ ダテ, シュウテイ イマムラ, ナガヨリ",和泉屋金右衛門|須原屋伊八|須原屋茂兵衛,,文政5 [1822] 像賛,1822,"4冊, 26cm","請求記号: HR:164|巻尾及び序の書名: 産科發蒙|序の書名: 治産外科|見返し及び題簽の書名: 醫學質驗義集産科發蒙|版心の書名: 醫學質驗産科發蒙|4-6巻: 今村長順, 谷井敬英, 伊達周禎仝校|見返しに「江戸書林 玉巖堂發行」とあり(「江都横山街玉巖堂精選古今書籍發兌」の朱印あり)|版心下部に「靜儉堂」とあり|奥付に「寛政十一年己未夏五月」とあり|四周単辺有界9行22字、単魚尾|訓点付|巻末に「玉巖堂藏梓目録」(和泉屋金右衛門)を附す|『醫學質驗』義集|印記: 「□田氏藏書印」",,産科發蒙,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/eb0e0dc2-2e24-5209-3424-ac9e98ed5917.json,eb0e0dc2-2e24-5209-3424-ac9e98ed5917,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/eb0e0dc2-2e24-5209-3424-ac9e98ed5917,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27734244f18ca8daa207ed121077319d6aabba20.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183374,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,226,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/eb0e0dc2-2e24-5209-3424-ac9e98ed5917/manifest,,,,,42
醫學質驗五種産科發蒙 6巻 5-6巻,イガク シツケン ゴシュ サンカ ハツモウ|Igaku shitsuken goshu sanka hatsumo,古典籍コレクション [医学図書館],日本語,和古書,"片倉 鶴陵著|源 周碩, 谷井敬英, 伊達周禎同校|今村長順, 谷井敬英, 伊達周禎仝校(4-9巻)","カタクラ, カクリョウ|ミナモト, シュウセキ タニイ, ノリヒデ ダテ, シュウテイ イマムラ, ナガヨリ",和泉屋金右衛門|須原屋伊八|須原屋茂兵衛,,文政5 [1822] 像賛,1822,"4冊, 26cm","請求記号: HR:164|巻尾及び序の書名: 産科發蒙|序の書名: 治産外科|見返し及び題簽の書名: 醫學質驗義集産科發蒙|版心の書名: 醫學質驗産科發蒙|4-6巻: 今村長順, 谷井敬英, 伊達周禎仝校|見返しに「江戸書林 玉巖堂發行」とあり(「江都横山街玉巖堂精選古今書籍發兌」の朱印あり)|版心下部に「靜儉堂」とあり|奥付に「寛政十一年己未夏五月」とあり|四周単辺有界9行22字、単魚尾|訓点付|巻末に「玉巖堂藏梓目録」(和泉屋金右衛門)を附す|『醫學質驗』義集|印記: 「□田氏藏書印」",,産科發蒙,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/84397c02-3b19-3c95-185f-a389a6bd9b67.json,84397c02-3b19-3c95-185f-a389a6bd9b67,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/84397c02-3b19-3c95-185f-a389a6bd9b67,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccd4ece368494249f810ed9f6bb411ef2d4fbfb6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183375,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,227,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/84397c02-3b19-3c95-185f-a389a6bd9b67/manifest,,,,,78
痘疹百死形状傳 ; 痘疹治術傳,トウシン ヒャクシ ケイジョウデン ; トウシン チジュツデン|Toshin hyakushi keijoden ; toshin chijutsuden,古典籍コレクション [医学図書館],日本語,和古書,独立性易|池田正直挍正|池田瑞僊再挍,ドクリュウ ショウエキ|イケダ セイチョク|イケダ ズイセン,[書写者不明],,[書写年不明],,24cm,請求記号: HR:216|写本|『痘疹百死形状傳』の巻尾の書名: 痘疹百死傳并附録|印記: 「端氏藏書記」|書き入れあり,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/06173ea0-4b13-1188-8730-5f1ca66e0ba2.json,06173ea0-4b13-1188-8730-5f1ca66e0ba2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/06173ea0-4b13-1188-8730-5f1ca66e0ba2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/625a7b975710183e503ac7e7e6c2107ab6808248.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183376,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,228,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/06173ea0-4b13-1188-8730-5f1ca66e0ba2/manifest,,,,,36
導窾私録 3巻 巻之上,ドウカン シロク|Dokan shiroku,古典籍コレクション [医学図書館],日本語,和古書,"小出 君徳著|小出 君徳, 小出 近義, 森川 信卿, 山田 俊碩同校","コイデ, クントク|コイデ, キンギ モリカワ, シンケイ ヤマダ, シュンセキ",[出版者不明],,天保10 [1839],1839,"3冊, 24cm",請求記号: HR:238|見返しに「天保己亥冬新鍥」「浪華 三書堂合梓」とあり|多色刷り,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/773f95e4-1c48-09ca-5bdb-93676010951d.json,773f95e4-1c48-09ca-5bdb-93676010951d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/773f95e4-1c48-09ca-5bdb-93676010951d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a5929beef2df205efada418542ef350c44817076.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183377,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,229,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/773f95e4-1c48-09ca-5bdb-93676010951d/manifest,,,,,31
導窾私録 3巻 巻之中,ドウカン シロク|Dokan shiroku,古典籍コレクション [医学図書館],日本語,和古書,"小出 君徳著|小出 君徳, 小出 近義, 森川 信卿, 山田 俊碩同校","コイデ, クントク|コイデ, キンギ モリカワ, シンケイ ヤマダ, シュンセキ",[出版者不明],,天保10 [1839],1839,"3冊, 24cm",請求記号: HR:238|見返しに「天保己亥冬新鍥」「浪華 三書堂合梓」とあり|多色刷り,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e52657b-69cc-4aa9-5a95-30bed0348254.json,3e52657b-69cc-4aa9-5a95-30bed0348254,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/3e52657b-69cc-4aa9-5a95-30bed0348254,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/65e36347e7bc856160eadc0152cc844bb9d085e5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183378,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,230,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e52657b-69cc-4aa9-5a95-30bed0348254/manifest,,,,,39
導窾私録 3巻 巻之下,ドウカン シロク|Dokan shiroku,古典籍コレクション [医学図書館],日本語,和古書,"小出 君徳著|小出 君徳, 小出 近義, 森川 信卿, 山田 俊碩同校","コイデ, クントク|コイデ, キンギ モリカワ, シンケイ ヤマダ, シュンセキ",[出版者不明],,天保10 [1839],1839,"3冊, 24cm",請求記号: HR:238|見返しに「天保己亥冬新鍥」「浪華 三書堂合梓」とあり|多色刷り,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/452d393c-4995-97aa-1e4d-791b54030214.json,452d393c-4995-97aa-1e4d-791b54030214,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/452d393c-4995-97aa-1e4d-791b54030214,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4f8afa520df2ed87d50cb6af313d32ab1815e6e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183379,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,231,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/452d393c-4995-97aa-1e4d-791b54030214/manifest,,,,,36
解體新書 4巻圖1巻 圖,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: HR:260|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「三宿文庫」,「藤志」|圖の裏見返しに「明治廿四年五月求之 此主佐藤氏」と墨書あり|卷之4の裏見返しに「菊川文輔」と墨書あり|書き入れあり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/204fa79e-1730-8fca-7123-d20df02e49d9.json,204fa79e-1730-8fca-7123-d20df02e49d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/204fa79e-1730-8fca-7123-d20df02e49d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a2761971db8a6a7f4663c54e72fd227744ea515f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183380,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,232,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/204fa79e-1730-8fca-7123-d20df02e49d9/manifest,,,,,42
解體新書 4巻圖1巻 卷之1,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: HR:260|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「三宿文庫」,「藤志」|圖の裏見返しに「明治廿四年五月求之 此主佐藤氏」と墨書あり|卷之4の裏見返しに「菊川文輔」と墨書あり|書き入れあり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc9de0ac-52b5-7cd0-635e-0ff798106cb7.json,bc9de0ac-52b5-7cd0-635e-0ff798106cb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/bc9de0ac-52b5-7cd0-635e-0ff798106cb7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c1eeba516a30e41549e992218e4cd24f6bc65a96.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183381,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,233,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc9de0ac-52b5-7cd0-635e-0ff798106cb7/manifest,,,,,26
解體新書 4巻圖1巻 卷之2,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: HR:260|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「三宿文庫」,「藤志」|圖の裏見返しに「明治廿四年五月求之 此主佐藤氏」と墨書あり|卷之4の裏見返しに「菊川文輔」と墨書あり|書き入れあり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/87e19453-1a26-2134-5618-858a65d031fd.json,87e19453-1a26-2134-5618-858a65d031fd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/87e19453-1a26-2134-5618-858a65d031fd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6100cc7721516a26817cd3681175ee43e13b23e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183382,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,234,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/87e19453-1a26-2134-5618-858a65d031fd/manifest,,,,,26
解體新書 4巻圖1巻 卷之3,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: HR:260|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「三宿文庫」,「藤志」|圖の裏見返しに「明治廿四年五月求之 此主佐藤氏」と墨書あり|卷之4の裏見返しに「菊川文輔」と墨書あり|書き入れあり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/16aab2ad-6f1e-05e7-27a6-2f25a34f2666.json,16aab2ad-6f1e-05e7-27a6-2f25a34f2666,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/16aab2ad-6f1e-05e7-27a6-2f25a34f2666,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6c69a7db27481078f920ddb59356f1558eddfb2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183383,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,235,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/16aab2ad-6f1e-05e7-27a6-2f25a34f2666/manifest,,,,,27
解體新書 4巻圖1巻 卷之4,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: HR:260|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「三宿文庫」,「藤志」|圖の裏見返しに「明治廿四年五月求之 此主佐藤氏」と墨書あり|卷之4の裏見返しに「菊川文輔」と墨書あり|書き入れあり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f998c9b1-35e2-4918-98f8-7ec06e404e75.json,f998c9b1-35e2-4918-98f8-7ec06e404e75,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/f998c9b1-35e2-4918-98f8-7ec06e404e75,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f33b6b504448c3f3e41f9d29aefd6b62424ffd2d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183384,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,236,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f998c9b1-35e2-4918-98f8-7ec06e404e75/manifest,,,,,29
解體新書 4巻圖1巻 圖,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: V11:k16|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「鈴木」,「延壽堂」|虫損あり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/947e95c5-41a6-9338-2516-9e7bb2296ff4.json,947e95c5-41a6-9338-2516-9e7bb2296ff4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/947e95c5-41a6-9338-2516-9e7bb2296ff4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b225f4450912fd715bf65ab926ae73296094e6eb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183385,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,237,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/947e95c5-41a6-9338-2516-9e7bb2296ff4/manifest,,,,,40
解體新書 4巻圖1巻 卷之1,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: V11:k16|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「鈴木」,「延壽堂」|虫損あり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/91503074-068a-36cf-2f2f-69438f64122c.json,91503074-068a-36cf-2f2f-69438f64122c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/91503074-068a-36cf-2f2f-69438f64122c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d8ae721579e46faed36d6c0b98628816c1dad98.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183386,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,238,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91503074-068a-36cf-2f2f-69438f64122c/manifest,,,,,25
解體新書 4巻圖1巻 卷之2,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: V11:k16|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「鈴木」,「延壽堂」|虫損あり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/508ffe2c-47a1-101b-514a-7fe9eddf08b4.json,508ffe2c-47a1-101b-514a-7fe9eddf08b4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/508ffe2c-47a1-101b-514a-7fe9eddf08b4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6302729d7ae1589834b9381fb0ffcbdb642d5d1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183387,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,239,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/508ffe2c-47a1-101b-514a-7fe9eddf08b4/manifest,,,,,26
解體新書 4巻圖1巻 卷之3,カイタイ シンショ|Kaitai shinsho,古典籍コレクション [医学図書館],日本語,和古書,"Kulmus, Johann Adam著|杉田 玄白譯|中川 淳庵校|石川 玄常参|桂川 甫周閲|小田野 直武画","Kulmus, Johann Adam|スギタ, ゲンパク|ナカガワ, ジュンアン|イシカワ, ゲンジョウ|カツラガワ, ホシュウ|オダノ, ナオタケ",須原屋市兵衞,,安永3 [1774],1774,"5冊, 27cm","請求記号: V11:k16|圖の扉に「咊柬飜譯」「天眞樓」とあり|帙入り|四周単辺無界10行17字、単魚尾|訓点付|印記: 「鈴木」,「延壽堂」|虫損あり",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/61b65a07-199e-6129-5830-0b88f9656d1f.json,61b65a07-199e-6129-5830-0b88f9656d1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/61b65a07-199e-6129-5830-0b88f9656d1f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/23d614d35d0c54b47e75c10b9675d03c12dd0c77.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1183388,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,240,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/61b65a07-199e-6129-5830-0b88f9656d1f/manifest,,,,,27
