タイトル,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
PL.40 MÉCANIQUE No.33,MÉCANIQUE,No.33,APPAREILS A NETTOYER LES GRAINS,○,PL.40,―,農具/脱穀機,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DES TRIEURS CONSTRUITS PAR MM. VACHON DE LYON,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5fd3f85-a667-788e-36fa-3c4613bb680d.json,a5fd3f85-a667-788e-36fa-3c4613bb680d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/a5fd3f85-a667-788e-36fa-3c4613bb680d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1de3e431a2330fae5e813717ed5fea8b174befde.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541641,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,040,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5fd3f85-a667-788e-36fa-3c4613bb680d/manifest,,,,,1
PL.41 MÉCANIQUE No.34,MÉCANIQUE,No.34,MACHINES LOCOMOTIVES,○,PL.41,―,蒸気機関車,A3,―,-,○,"DESSIN SIMPLIFI&Eacute; DE LA MACHINE LOCOMOTIVE ANT&Eacute;E A CYLINDRES EXT&Eacute;RIEURS ET A SIX ROUES COUPL&Eacute;ES, construites sur les plans de Mr. l'Ing&eacute;nieur E.Flachat. (Chemin de fer de Paris &agrave; St. Germain.)",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fabfe753-6d33-6ab4-0b2e-43d871c9087f.json,fabfe753-6d33-6ab4-0b2e-43d871c9087f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/fabfe753-6d33-6ab4-0b2e-43d871c9087f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e1bb035db225c872733197c00549322375cc6999.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541640,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,041,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fabfe753-6d33-6ab4-0b2e-43d871c9087f/manifest,,,,,1
PL.42 MENUISERIE No.1,MENUISERIE,No.1,PORTES,○,PL.42,―,扉,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN D'UNE DES DEUX PORTES D'ENTR&Eacute;E DE LA MAISON CONSTRUITE BOULEVARD S&Eacute;BASTOPOL, No. 74, A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/440833ad-0b7a-0c4e-90ed-056435685f5c.json,440833ad-0b7a-0c4e-90ed-056435685f5c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/440833ad-0b7a-0c4e-90ed-056435685f5c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d02bf03ba9c7d59e8b17d30d6b9ac2fe8379fa63.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541639,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,042,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/440833ad-0b7a-0c4e-90ed-056435685f5c/manifest,,,,,1
PL.43 MÉCANIQUE No.35,MÉCANIQUE,No.35,MACHINES À VAPEUR -LOCOMOBILES,○,PL.43,○,ロコモービル/移動式蒸気機関,A3,―,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN SIMPLIFI&Eacute; DES NOUVELLES LOCOMOBILES DE M. BREVAL, Ing&eacute;nieur - M&eacute;canicien &agrave; Paris. - Mod&egrave;le d'une locomobile de la force de quartre chevaux-vapeur effectifs, et du poids total de 1550 kilogrammes.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2f7ffe48-6de6-a27d-4360-2d35cab980ce.json,2f7ffe48-6de6-a27d-4360-2d35cab980ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2f7ffe48-6de6-a27d-4360-2d35cab980ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8bcb445edc7fd16fe7db7605a7cb3a3a54999e1f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541638,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,043,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2f7ffe48-6de6-a27d-4360-2d35cab980ce/manifest,,,,,1
PL.44 MAÇONNERIE No.5,MAÇONNERIE,No.5,VOUTES CYLINDRIQUES. ___ BERCEAUX.,○,PL.44,―,天井,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,EPURE D'UNE PORTE PRATIQUEE DANS UN MUR BIAIS. (Echelle de 8 centim&egrave;tres pour m&egrave;tre),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3877c25c-5a26-15c2-9ab5-1be1e6b62e49.json,3877c25c-5a26-15c2-9ab5-1be1e6b62e49,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/3877c25c-5a26-15c2-9ab5-1be1e6b62e49,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/989c13b3c16830eb1c80c934c6a124d04e6d86de.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541637,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,044,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3877c25c-5a26-15c2-9ab5-1be1e6b62e49/manifest,,,,,1
PL.45 MÉCANIQUE No.36,MÉCANIQUE,No.36,MACHINES À VAPEUR,○,PL.45,―,蒸気機関,A3,―,-,―,"DESSIN D'UNE MACHINE A CYLINDRE OSCILLANT CONSTRUITE PAR M. KIENTZY, Constructeur - M&eacute;canicien &agrave; Paris.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8df0832f-6047-39d9-631a-8fa54bf31950.json,8df0832f-6047-39d9-631a-8fa54bf31950,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/8df0832f-6047-39d9-631a-8fa54bf31950,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a2d097a0f115245c63172e174a8196c3febc214b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541636,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,045,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8df0832f-6047-39d9-631a-8fa54bf31950/manifest,,,,,1
PL.46 SERRURERIE No.1,SERRURERIE,No.1,COMBLES.,○,PL.46,―,屋根組み,A3,○,DESSIN À L'USAGE DES CHANTIERS,―,DESSIN D&Eacute;TAILL&Eacute; DE LA HALLE A VOYAGEURS DE LA STATION DE MULHOUSE (Chemin de fer de Strasbourg &agrave; B&acirc;le),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d6c17be6-632d-2ae7-696f-1c75f9611a4b.json,d6c17be6-632d-2ae7-696f-1c75f9611a4b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/d6c17be6-632d-2ae7-696f-1c75f9611a4b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db7a9733b69582dea5d0327d10a6de1e9dbd9de6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541635,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,046,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d6c17be6-632d-2ae7-696f-1c75f9611a4b/manifest,,,,,1
PL.47 MÉCANIQUE No.37,MÉCANIQUE,No.37,GRUES HYDRAULIQUES.,○,PL.47,―,給水機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN DES GRUES D'ALIMENTATION &Eacute;TABLIES SUR LE CHEMIN DE FER DE PARIS A LYON.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2648fabb-41f2-256a-54dc-de4e4bab1a38.json,2648fabb-41f2-256a-54dc-de4e4bab1a38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2648fabb-41f2-256a-54dc-de4e4bab1a38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b27fbedc9e6cac74daa46583d0aaf64a4608c082.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541634,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,047,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2648fabb-41f2-256a-54dc-de4e4bab1a38/manifest,,,,,1
PL.48 MÉCANIQUE No.[38],MÉCANIQUE,No.[38],ORGANES DE TRANSFORMATION DE MOUVEMENT.,○,PL.48,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN TYPE D'UNE MANIVELLE MOTRICE EN FER (FORG&Eacute;) applicable &agrave; une Machine &agrave; vapeur de la force de 70 chevaux environ.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6d4232d4-9675-97dd-832f-d73ee2518157.json,6d4232d4-9675-97dd-832f-d73ee2518157,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/6d4232d4-9675-97dd-832f-d73ee2518157,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e0fbf5afccc501c565c8ff73c1888dff6651f50.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541633,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,048,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6d4232d4-9675-97dd-832f-d73ee2518157/manifest,,,,,1
PL.49 MÉCANIQUE No.39,MÉCANIQUE,No.39,MATERIEL DE CHEMINS DE FER. -WAGONS.,○,PL.49,―,車両/貨車,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN WAGON DE TERRASSEMENT A BASCULE VERSANT DE C&Ocirc;T&Eacute;. (SYST&Egrave;ME BELGE.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/269222ca-8a2f-2bd9-26b7-5e60fe4e5193.json,269222ca-8a2f-2bd9-26b7-5e60fe4e5193,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/269222ca-8a2f-2bd9-26b7-5e60fe4e5193,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d159710a973bd7fea519851faf02a380dd1e1cc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541632,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,049,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/269222ca-8a2f-2bd9-26b7-5e60fe4e5193/manifest,,,,,1
PL.50 ARCHITECTURE No.1,ARCHITECTURE,No.1,GUERITES.,○,PL.50,―,建物,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN DES GUERITES CONSTRUITES SUR LA FA&Ccedil;ADE DE LA CASERNE MUNICIPALE, SITU&Eacute;E RUE DE LA BANQUE A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4412d14c-77d5-a4c1-7f7e-ef4f47c06b7c.json,4412d14c-77d5-a4c1-7f7e-ef4f47c06b7c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4412d14c-77d5-a4c1-7f7e-ef4f47c06b7c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad37df58c64b9618ff906c8ee1cfbcc95bd6ea10.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541631,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,050,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4412d14c-77d5-a4c1-7f7e-ef4f47c06b7c/manifest,,,,,1
PL.51-52 MÉCANIQUE M&Eacute;CANIQUE -No.40-41,MÉCANIQUE,M&Eacute;CANIQUE -No.40-41,MACHINES A VAPEUR.,―,PL.51-52,―,蒸気機関,A2,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN DE LA MACHINE &Agrave; VAPEUR &Agrave; DEUX CYLINDRES, &Agrave; HAUTE PRESSION ET &Agrave; D&Eacute;TENTE VARIABLE DE LA FORCE DE 60 CHEVAUX, &Eacute;TABLIE &Agrave; PARIS DANS LES ATELIERS DU CHEMIN DE FER DE LYON.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/de6e40d4-06f7-3f8b-6bab-9de8b7f29b2f.json,de6e40d4-06f7-3f8b-6bab-9de8b7f29b2f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/de6e40d4-06f7-3f8b-6bab-9de8b7f29b2f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b494e328b4ebe7f00edf0985e4274a0c68ae489.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541630,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,051,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/de6e40d4-06f7-3f8b-6bab-9de8b7f29b2f/manifest,,,,,1
PL.53 MÉCANIQUE No.42,MÉCANIQUE,No.42,DESSIN D'UNE MACHINE A VAPEUR VERTICALE,○,PL.53,―,蒸気機関| 工作機械,A3,―,PETITES ÉTUDES DE LAVIS.,○,"Construite par M. Lecouteux, et etablie dans la fabrique de chocolat sise rue du Faubourg St. Denis, 49, à Paris.",DESSIN D'UNE PETITE MACHINE A PERCER MUE PAR COURROIE.,Modèle de machines à percer en usage dans les Ateliers de Montataire.,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db207010-3666-9f87-8d1d-2d7152498736.json,db207010-3666-9f87-8d1d-2d7152498736,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/db207010-3666-9f87-8d1d-2d7152498736,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb988b531266d8f2b8c39f44d9485bd9b7682c6a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541629,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,052,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db207010-3666-9f87-8d1d-2d7152498736/manifest,,,,,1
PL.54 MÉCANIQUE-CINÉMATIQUE No.43,MÉCANIQUE-CINÉMATIQUE,No.43,ORGANES DE TRANSFORMATION DE MOUVEMENT.,○,PL.54,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN TYPE DE LA GROSSE T&Ecirc;TE D'UNE BIELLE MOTRICE EN FER applicable &agrave; une Machine &agrave; vapeur de la force de 6 chevaux.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/720812dd-9db6-47c2-4048-e937dd8f35ef.json,720812dd-9db6-47c2-4048-e937dd8f35ef,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/720812dd-9db6-47c2-4048-e937dd8f35ef,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1b0dc6f6effd0254940d8c77a674327435cc63ac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541628,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,053,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/720812dd-9db6-47c2-4048-e937dd8f35ef/manifest,,,,,1
PL.55 MÉCANIQUE No.44,MÉCANIQUE,No.44,PRESSES.,○,PL.55,―,機械/プレス,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D'UNE PRESSE &Agrave; SATINER &Agrave; PERCUSSION.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1ecbdec-449c-5d1c-a43b-cb9e9bb673d7.json,a1ecbdec-449c-5d1c-a43b-cb9e9bb673d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/a1ecbdec-449c-5d1c-a43b-cb9e9bb673d7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/652b40bd3d6425a52163743393953275807a98ef.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541627,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,054,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1ecbdec-449c-5d1c-a43b-cb9e9bb673d7/manifest,,,,,1
PL.56 MENUISERIE No.2,MENUISERIE,No.2,DEVANTURES DE MAGASINS.,○,PL.56,―,建物/商店,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN D'UNE NOUVELLE DEVANTURE DE MAGASIN CONSTRUITE RUE DE FLEURUS, 23, A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/65af3839-a085-22ec-3549-b7dc784a03cd.json,65af3839-a085-22ec-3549-b7dc784a03cd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/65af3839-a085-22ec-3549-b7dc784a03cd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/116420ec65e16bee2146de9820148bb005b82fea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541626,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,055,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/65af3839-a085-22ec-3549-b7dc784a03cd/manifest,,,,,1
PL.57 MÉCANIQUE No.45,MÉCANIQUE,No.45,MACHINES SOUFFLANTES.,○,PL.57,―,蒸気機関/送風機|蒸気機関車,A3,○,PETITES ÉTUDES DE LAVIS.,―,DESSIN D'UNE MACHINE SOUFFLANTE A VAPEUR DE LA FORCE DE 70 CHEVAUX.,Machine soufflante construite par M. Cavé pour le service des forges de la Providence. (Belgique),MACHINES LOCOMOTIVES.,DESSIN DES NOUVELLES LOCOMOTIVES A GRANDE VITESSE. (DU SYSTÈME CRAMPTON),"Construites par M. Cail pour le service du chemin de fer du Nord, et d'après les dessins de M. l'ingénieur en chef J. Petiet.",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4748a7ef-42db-7f7e-7c56-8318b6a2398d.json,4748a7ef-42db-7f7e-7c56-8318b6a2398d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4748a7ef-42db-7f7e-7c56-8318b6a2398d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cc430efc5fd381e97c39da54761d366d3d9196a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541625,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,056,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4748a7ef-42db-7f7e-7c56-8318b6a2398d/manifest,,,,,1
PL.58 MÉCANIQUE No.46,MÉCANIQUE,No.46,CISAILLES.,○,PL.58,―,機械/裁断機,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D'UNE CISAILLE A GROSSES T&Ocirc;LES &Eacute;TABLIE AUX FORGES IMP&Eacute;RIALE DE GU&Eacute;RIGNY. (NI&Egrave;VRE.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd4bfc05-3ff9-8bc4-8032-da2e61d545e4.json,dd4bfc05-3ff9-8bc4-8032-da2e61d545e4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/dd4bfc05-3ff9-8bc4-8032-da2e61d545e4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7afc70f291291f9d7dccbb24d86cf020d325c251.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541624,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,057,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd4bfc05-3ff9-8bc4-8032-da2e61d545e4/manifest,,,,,1
PL.59 ARCHITECTURE No.2,ARCHITECTURE,No.2,ORDRES.,○,PL.59,―,柱,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D&Eacute;TAILL&Eacute; DES DIFF&Eacute;RENTES PARTIES DE L'ORDRE TOSCAN.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5be97ead-4a69-4754-6ea0-c74596f70dd2.json,5be97ead-4a69-4754-6ea0-c74596f70dd2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/5be97ead-4a69-4754-6ea0-c74596f70dd2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/598c8fef633a58a19ab2afb36f13ccfeac32aecd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541623,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,058,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5be97ead-4a69-4754-6ea0-c74596f70dd2/manifest,,,,,1
