表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
改進新聞 明治27(1894)年5月19日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1894-05-19,3376,1-6,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c4e7c2ee-1e7a-3169-3d64-38b0a4965689.json,c4e7c2ee-1e7a-3169-3d64-38b0a4965689,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c4e7c2ee-1e7a-3169-3d64-38b0a4965689,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1a0eb5de400fcf3b1802dd20d8dd8e78e4dfd1cc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417481,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c4e7c2ee-1e7a-3169-3d64-38b0a4965689/manifest,,,,,6
[通知]今般當縣廳中兵事課設置候條...,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:18:28,,,,,,,,福島県 磐前県・若松県別袋,,福島縣,茨城縣,,明治16年2月5日,1枚 25×33cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cfa76217-7902-41c6-8142-426d04bc37cf.json,cfa76217-7902-41c6-8142-426d04bc37cf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/cfa76217-7902-41c6-8142-426d04bc37cf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c4208fba1bc05364088b3756ffd755d0ece1190f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422665,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cfa76217-7902-41c6-8142-426d04bc37cf/manifest,,,,,1
[佐藤蔵太と申もの不審の儀云々],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:3:31,,,,,,,,青森県(一),,青森県,京都府,,壬申9月28日,1点 25×35cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/10723d74-9e1d-261f-2260-8be7b59b1e6f.json,10723d74-9e1d-261f-2260-8be7b59b1e6f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/10723d74-9e1d-261f-2260-8be7b59b1e6f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/061ebe3fe588a43fc4490daea2f5080818bb7a6a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422370,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/10723d74-9e1d-261f-2260-8be7b59b1e6f/manifest,,,,,1
[下賜状],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:19:21,,,,,,,,磐前県,,磐前縣,加藤淳風,,明治7年5月18日,1枚 22×29cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/480606d9-160e-67c1-725c-55cf2c1995c6.json,480606d9-160e-67c1-725c-55cf2c1995c6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/480606d9-160e-67c1-725c-55cf2c1995c6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd2d4ff9b7a1a420059826ff19ecb56d8c06f12c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422720,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/480606d9-160e-67c1-725c-55cf2c1995c6/manifest,,,,,1
改進新聞 明治23(1890)年2月12日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1890-02-12,2090,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4f4a4776-7c31-6bb9-6631-fe38ec551970.json,4f4a4776-7c31-6bb9-6631-fe38ec551970,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4f4a4776-7c31-6bb9-6631-fe38ec551970,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aac1fb0f884b229815ef7ea3e8b619410ef9206a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417194,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f4a4776-7c31-6bb9-6631-fe38ec551970/manifest,,,,,4
改進新聞 明治17(1884)年11月4日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1884-11-04,503,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f95b619b-88d8-3d40-3887-192110b3a751.json,f95b619b-88d8-3d40-3887-192110b3a751,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f95b619b-88d8-3d40-3887-192110b3a751,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/89fa0b1e1e4cc59c9ff67001c3c0c029adc2fe02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415900,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f95b619b-88d8-3d40-3887-192110b3a751/manifest,,,,,4
父母ノ數子ニ於ケル偏頗ナキガ如ク政府ノ人民ニ於ケルモ...,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:65:45,,,,,,,,静岡県 韮山県別袋,,静岡縣権令大迫貞清,,,明治8年10月27日,1綴(3丁) 23×15cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be0eeefa-8753-a01d-39bb-9553d8f234f3.json,be0eeefa-8753-a01d-39bb-9553d8f234f3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/be0eeefa-8753-a01d-39bb-9553d8f234f3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3b9ffdbb315c31ea53f7f8ebde5005fc457bca3d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423131,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be0eeefa-8753-a01d-39bb-9553d8f234f3/manifest,,,,,3
改進新聞 明治20(1887)年11月23日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-11-23,1414,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2fafdb6b-2e79-31a8-364c-441131cd3c76.json,2fafdb6b-2e79-31a8-364c-441131cd3c76,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/2fafdb6b-2e79-31a8-364c-441131cd3c76,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/43524333f4b91307491f0962c28086bc0b0f7ce7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416785,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2fafdb6b-2e79-31a8-364c-441131cd3c76/manifest,,,,,4
改進新聞 明治19(1886)年12月25日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-12-25,1138,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dc26152e-686e-503a-4838-eb2961597794.json,dc26152e-686e-503a-4838-eb2961597794,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/dc26152e-686e-503a-4838-eb2961597794,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb4fcdc59ea49f68414dcd405d5363f7269d57f5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416510,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dc26152e-686e-503a-4838-eb2961597794/manifest,,,,,4
改進新聞 明治18(1885)年9月3日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-09-03,743,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1cd0cf6-6d6b-6e6d-4dea-a562d19d593c.json,a1cd0cf6-6d6b-6e6d-4dea-a562d19d593c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a1cd0cf6-6d6b-6e6d-4dea-a562d19d593c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/455a9532cea46da89f96b43d6c5f291969f0a1a7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416140,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1cd0cf6-6d6b-6e6d-4dea-a562d19d593c/manifest,,,,,4
改進新聞 明治24(1891)年6月3日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-06-03,2496,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cd3e1a04-2052-9cd2-9396-b86ac80d29f2.json,cd3e1a04-2052-9cd2-9396-b86ac80d29f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/cd3e1a04-2052-9cd2-9396-b86ac80d29f2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/70898a5644201b971b684bd7f1d8415563b3f01c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417301,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cd3e1a04-2052-9cd2-9396-b86ac80d29f2/manifest,,,,,4
改進新聞 明治21(1888)年2月4日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-02-04,1471,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71aeb556-3f77-9ab3-7e93-50da6af79d71.json,71aeb556-3f77-9ab3-7e93-50da6af79d71,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/71aeb556-3f77-9ab3-7e93-50da6af79d71,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6470451714ca1edfb0a55d0baad7a0e8a9852805.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416843,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/71aeb556-3f77-9ab3-7e93-50da6af79d71/manifest,,,,,4
改進新聞 明治24(1891)年1月16日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1891-01-16,2382,1-6,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b977417-35ad-8079-a64d-cd8ef5294fc1.json,3b977417-35ad-8079-a64d-cd8ef5294fc1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3b977417-35ad-8079-a64d-cd8ef5294fc1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3577e5a9e01ca506a7c38b9791f93ea050317d1a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417244,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b977417-35ad-8079-a64d-cd8ef5294fc1/manifest,,,,,6
改進新聞 明治21(1888)年4月21日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-04-21,1534,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/69b38c90-4a5b-25d5-8f02-03bada8716e7.json,69b38c90-4a5b-25d5-8f02-03bada8716e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/69b38c90-4a5b-25d5-8f02-03bada8716e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3f64c86280ec8478c2b0a5b932db7ed95abc4906.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416906,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/69b38c90-4a5b-25d5-8f02-03bada8716e7/manifest,,,,,4
改進新聞 明治19(1886)年10月20日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-10-20,1083,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ae3aed50-2ca2-0813-283d-394d1879917d.json,ae3aed50-2ca2-0813-283d-394d1879917d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ae3aed50-2ca2-0813-283d-394d1879917d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/15134f38570e25e31f6e864f3ff6b9bf5ca40af0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416455,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ae3aed50-2ca2-0813-283d-394d1879917d/manifest,,,,,4
[照会・行政文書],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:28:4,,,,,,,,宇都宮県,栃木県(二) 日光県・宇都宮県 一括,宇都宮縣、茨城縣,茨城縣、宇都宮縣,,壬申5月20~23日,4枚 28×38cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7c2e52aa-5044-7842-87f5-76a1d1ad431e.json,7c2e52aa-5044-7842-87f5-76a1d1ad431e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7c2e52aa-5044-7842-87f5-76a1d1ad431e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/07fd9d52cdba924d9a20bb02bb368bf22c1ea6c7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422809,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7c2e52aa-5044-7842-87f5-76a1d1ad431e/manifest,,,,,5
改進新聞 明治18(1885)年3月14日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-03-14,608,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d25a26c-3cc8-77fa-34d2-c8fc644f08fa.json,8d25a26c-3cc8-77fa-34d2-c8fc644f08fa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/8d25a26c-3cc8-77fa-34d2-c8fc644f08fa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7485eefe866d845e2eb5af11e98d5bc68ed489d4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416005,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d25a26c-3cc8-77fa-34d2-c8fc644f08fa/manifest,,,,,4
教員免許試験願,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:18:36,,,,,,,,福島県 磐前県・若松県別袋,,願人:福島縣士族小松忠次郎,福島縣令三島通庸,,明治15年11月10日,1枚 25×33cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0b45ca9-7a97-2afd-399f-dbc7fb53787c.json,d0b45ca9-7a97-2afd-399f-dbc7fb53787c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0b45ca9-7a97-2afd-399f-dbc7fb53787c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d5b82a2ce6ecf2ffc002cfda8735b0fc77bea9d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422673,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0b45ca9-7a97-2afd-399f-dbc7fb53787c/manifest,,,,,1
病気療養延期願,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:3:50,,,,,,,,青森県(一),,青森県権令 池田種徳,史官,,明治7年9月10日,1点(2丁) 29×21cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a385a437-69b0-0ac3-820a-9746c6ea9c98.json,a385a437-69b0-0ac3-820a-9746c6ea9c98,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a385a437-69b0-0ac3-820a-9746c6ea9c98,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73ced69c88da4b43fca156a1c597c08fd2578741.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422389,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a385a437-69b0-0ac3-820a-9746c6ea9c98/manifest,,,,,2
敦賀県布令書 第三十九号,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:57:76,,,,,,,,敦賀県布告,,敦賀縣権令藤井勉三代理参事寺島直,,,明治7年2月14日,1枚 22×30cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4a1b8be7-23f2-5ead-5851-33b3f72d1903.json,4a1b8be7-23f2-5ead-5851-33b3f72d1903,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4a1b8be7-23f2-5ead-5851-33b3f72d1903,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3b3d3e088446bcd08ca3120ccec414b713528104.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423062,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4a1b8be7-23f2-5ead-5851-33b3f72d1903/manifest,,,,,1
