タイトル/Title,ポスター番号/No. of Poster,タイトル（日本語訳）/TItle (Japanese),作成者/Creator,作成主体/Publisher,制作年/Date Issued,縦×横（mm）/Extent,主題/Subject,内容記述・解説/Description,備考（ポスターにある記号等）/Note,提供部局名/Holding Department,種別/Material Type,言語/Language,連番,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
"""Now . . . if I was down there in Washington . . .""",45,「ふむ...もし俺がワシントンにいたらな」,,Republic Steel,,710×560,Business,"“Now . . . if I was down there in Washington . . .” / That’s Joe talking. Every night when he stops in for his coffee and sinkers he has plenty to tell the boys about how this was should be run. Maybe he’s right and maybe he isn’t. / The important thing is that he can say what he thinks—out loud. Right in front of Tom Burke, the cop. He couldn’t do that in Germany or Japan or Italy . . . or in any of the nations that have been “liberated” by the New Order. / But Joe is an American. / And because Joe is an American, he has more privileges—and more opportunities—than can be found anywhere else in the world. If he doesn’t want to work for somebody else, he can operate a business of his own—anywhere. Joe is a free agent. His future is under his hat. / Like millions of other Americans on the way up, Joe can cash in on a way of life that has brought America the highest standards of living in the world—by a big margin. / It is a typically American way of life—based on American ingenuity, ambition, desire to get ahead. It gives every person a chance. / That is why today, after a comparatively short time, team work and cooperation in American industry and American agriculture are performing miracles of production that would be impossible in a country weakened by years of regimentation and dictatorship. / American boys are fighting for the inherited right of all of us, wherever we live, or whatever we do, to live our lives the way we want to live them. And when those boys come home they want to find again, the basic rights and freedoms on which this country was built. / Over 13,000 Republic men are in uniform. Nearly 70,000 other Republic men and women are backing them up with record-breaking steel production. In 1942 they beat the 1941 record by 479,000 tons. / Every American has a job to do in this war. Buy bonds—donate blood—enroll in civilian defense—keep vital scrap metal flowing to war plants—work harder at the job—whatever it may be! / We Americans—all the Joes, the Tom Burkes and everybody else—130 millions of us—have more to fight for than any other people in the world. Our stake in victory is our free way of life. Let’s guard it faithfully! / You’re not breaking steel production records for the fun of it. You’re doing it so that we Americans can keep on running our own lives instead of having a demented dictator order us around. The millions who will read this message in the February 27th Saturday Evening Post are glad you’re doing such a swell job.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0043,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec728a89-11c2-999b-204c-511f321b7605.json,ec728a89-11c2-999b-204c-511f321b7605,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/ec728a89-11c2-999b-204c-511f321b7605,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ead585a875e0916ac81e5ad31de901a3b55d0883.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654482,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec728a89-11c2-999b-204c-511f321b7605/manifest,,,,,1
Night attack on the home front,46,銃後の夜間攻撃,,Republic Steel,,710×560,Business,"Night attack on the home front. / It’s scheduled for tonight—and every night—on a million American farms. Without bands, glamour, publicity or pennants, Mr. and Mrs. Farmer and their families are valiantly fighting the critical Battle of Food. / American farmers always have been faithful guardians of this country’s way of life—staunch champions of our particular brand of free thought—free speech—free enterprise. / Today, Uncle Sam is asking them for a miracle—and he’s getting it. / He needs food for our rapidly expanding army and navy, for the millions of war workers and for the remainder of our civilian population. He needs lend-lease food—countless cargoes of it—to help keep our Allies in the fight. / Short-handed as they are, this country’s farmers are working longer hours than ever before, with every piece of mechanical equipment at their disposal, to meet ever increasing production quotas. / And steel is helping, all along the lines. Its practical application to the solution of farm problems always has been one of the industry’s major activities. It helps to make possible the dependable service that farmers are getting from their tools, tractors and other implements in these days of almost continuous operation. / Today, Republic’s mines, mills and offices are working full time on war work. Tens of thousands of hard-working Republic men* and women are turning out record-breaking tonnages of steel for ship plates, armor, aircraft, tanks, guns, bombs, shells, and hundreds of other vital products that make up the material of war. / Yet, the study of new and improved steels for farms goes on continuously at “Steel Way” Farm, Republic’s unique 500-acre laboratory. / This activity typifies the extensive scientific research in metals, markets and methods by which Republic is preparing for the future when mills and men will be kept busy with the needs of a peacetime world. / But first, a desperate struggle must be won. And the farmer, the factory worker and the man in uniform are working together in our fight for the rights and freedoms that America holds dear. / * More than 14,000 Republic men are in the armed forces of the United States. / Your buddies in uniform can smash any combination of Japanazis—if you and the farmers of American give them the steel and food they need. Keep up the swell job you’ve been doing. Millions will read about it in the April 17 Saturday Evening Post.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0044,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1f8adec9-6201-a478-4b1a-b73c3972096b.json,1f8adec9-6201-a478-4b1a-b73c3972096b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/1f8adec9-6201-a478-4b1a-b73c3972096b,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f35694ab0615700e960422559283bec18477b1b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654481,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1f8adec9-6201-a478-4b1a-b73c3972096b/manifest,,,,,1
"Peter, You can never be president . . .",47,ピーター、君は大統領にはなれないけれど...,,Republic Steel,,710×515,Business,"Peter, You can never be president . . . / But, that’s about the only door that’s barred to you—an immigrant boy—in America. / You can become a great doctor. / Or a painter or musician. / You can be the head of a business. / You can be a farmer, a teacher, a scientist, a mechanic, a clergyman or a statesman. / It requires ability, the desire to get ahead, the will to work, and faith in yourself, in America and in God. / The opportunity is here. / The fact that you are poor—and were born in a foreign country needn’t hold you back. / In this country nearly everyone at the top started at the bottom. / Who you are or where you came from doesn’t matter. / Whether you work for somebody else—or some day employ other people in a business of your own —you’re free in America. / And that is important. / It’s that very freedom for individuals, industry and agriculture that provides incentive, creates competition, permits business to grow, makes jobs, increases production, lowers costs and raises wages. / That’s the American way. / In this country we have always encouraged inventive skill and ingenuity. / Here, most of us take pride in honest work and achievement. / The highest standard of living in the world is the result. / And that’s something to think about. / But in spite of all that, you’ll find people here who talk about “rebuilding America.” They say it’s old fashioned, that it has outgrown its Constitution and its Bill of Rights. / They would like to change all the things that have made America great—and pattern it after some other country. / You’ll hear a lot about voting for so-and-so because he’ll “take care of you and your family from now on.” / But you’ll find that most self-respecting Americans prefer to take care of themselves—and work out their own futures. / Americans don’t like to have someone else do their thinking for them—or tell them how to live their lives. / Americans don’t like to be pushed around. / Our forefathers founded this country to get away from that sort of thing. / That’s why millions of people have settled here—and prospered. / That’s why you and your parents came over here. / That’s why millions of other people, weary of being bossed by dictators, harassed by bureaucrats, told what to do, where to work, what wages they can have—would give anything to be in America. / Study this country carefully, Peter. Find out what really makes it tick. / Study its political, social and industrial history, its achievements in agriculture. / Discover for yourself how the power and the glory of America lie in her birthright of freedom and opportunity. / Remember that we are fighting this war to defend that birthright. / No, you can never be president, Peter—but your children can! And you can win a solid place for yourself and build a shining future here, if you will learn to stand on your own feet and if you will do your share to keep America American. / We’re free today only because the early Americans wanted freedom enough to fight for it. We’ll stay free only if we have the same determination to live our own lives. Millions who also want to keep America American will see this message in the May 20 Saturday Evening Post and other leading publications.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0045,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be62f09a-0951-66fc-6cf7-cb9558302437.json,be62f09a-0951-66fc-6cf7-cb9558302437,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/be62f09a-0951-66fc-6cf7-cb9558302437,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e3f55c7ae5e0ce254bc41b29b85b8d34b8034dfd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654480,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be62f09a-0951-66fc-6cf7-cb9558302437/manifest,,,,,1
"""I wonder what Jim's doing now!""",48,「ジムは今どうしているのかしら!」,,Republic Steel,,711×515,Business,"“I wonder what Jim’s doing now!” / The anthem they’re singing . . . it was always one of Jim’s favorites. / How handsome he looked in his uniform when he was home. He wore a sergeant’s stripes but I shall always think of him as my baby. As we talked together, he seemed much older and more assured—but all the time I was thinking of how he used to say his prayers every evening at my knee. / Yes, Jim has really grown up. He has seen action in foreign lands. He has seen, too, with his own eyes, what has happened to the people of those countries. / “Until I actually saw it,” he wrote, “I never could have believed what complete regimentation can do to a people. It was done so cleverly and so gradually by their leaders. The people traded rights as free citizens for glittering promises of security. Within a few years they had not only lost their freedoms but their security, too.” / I guess Jim never fully realized until now what it means to live as a free American. He says he knows now what he is really fighting for—to keep America free. / At first, I only half understood what he meant. It’s hard to believe, but he is actually worried about what’s going on back here in America. / Jim’s final words in that same letter will always stay with me. / “Mother,” he wrote, “you can depend on me to handle our family’s share of the fighting over here. But I’ve talked it over with lots of the fellows I know. And we’re expecting you folks back home to keep alive the things we’re fighting for . . . / “I want to make my way in the world on my own, Mother, like you and Dad have done—after we’ve cleaned up this mess. All I want is a fair chance to get ahead . . . without needless interference. When I get back, I merely want the opportunities that only our American way of life can give.” / Our American system of enterprise has helped change this country from a colony to the world’s greatest nation within a few generations. It has helped maintain our freedom to work, worship, speak, think, play and vote as we please. In fighting a way to restore freedom to the world, let us be sure that we shall keep our own. / “In fighting a war to restore freedom to the world, let us be sure that we shall keep our own.” These words, from the message above, are words that every American should remember and act on if he wants to stay free. More than 30 million Americans will have the opportunity to read them in the July 15 Saturday Evening Post and other leading publications.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0046,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b9b9c2c-1baa-a127-2612-9f688d6d7f07.json,3b9b9c2c-1baa-a127-2612-9f688d6d7f07,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/3b9b9c2c-1baa-a127-2612-9f688d6d7f07,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c5ca6bead44b1204c32883a504ac2bc90b97062a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654479,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b9b9c2c-1baa-a127-2612-9f688d6d7f07/manifest,,,,,1
. . . Before it goes any farther,49,...これ以上事が進む前に,,Republic Steel,,710×560,Business,"“. . . before it goes any farther” / “Tom, it sure worries me when I hear all this talk about keeping wartime restrictions on business after the war. I actually get scared.” / “But Jim, why should fellows like you and me worry about that. We don’t own stock or clip coupons. How business is regulated—and to what extent—those are problems for the big shots. They don’t affect us at all—do they?” / “You’re so close to your job, Tom, I’m afraid you don’t see the whole picture. Why, when I worry about business, I’m worrying about you and me and our families. Any way you look at it, it affects us—and how! / “This old fashioned idea of drawing a line between the men in the office and the men in the plant is a lot of bunk. When you add it all up, workers and management are partners in business, the business of being Americans and keeping this country American. Our problems and the boss’s problems are really very much the same. Whatever hurts business hurts us too. / “When you come right down to it, we all work. We all furnish capital in one way or another to some kind of business enterprise. And we’re all customers of somebody. / “The heads of our business depend on us to produce goods. We depend on them to supply the plant, the equipment, the materials, the engineering, the management—and to develop sales and markets for the goods we produce—so that we can produce more of them. / “As production goes up, costs per product go down. We can make more money and buy more of the things we want. The company can plow more money back into more jobs, better plants, and improved equipment—and the customers get lower prices. / “It’s a cinch that business has got to have freedom from a lot of this unnecessary outside meddling if it’s going to get anywhere—and if you and I are going to get anywhere. / “All of us, from the boss on down, are ready and willing to do most anything to finish this country’s number one job—winning the war—and will put up with almost anything to do it. / “But when our boys come back from the war, they’ve got to have jobs and opportunity. And business can’t give it to them if we don’t give business the green light. / “Take it from me Tom, peacetime regimentation is dangerous—no matter who it applies to. And the trouble is, that once something like that gets started, it grows—and grows. As I see it—it’s up to us, and millions more like us, to stop it before it goes any farther.” / “Peacetime regimentation is dangerous . . . It’s up to us, and millions more like us, to stop it before it goes any farther.” That thought from the above message is important to every worker, businessman and farmer who wants to keep his opportunity to work and get ahead in the free American way. It will appear in the August 12 Saturday Evening Post and other leading publications read by more than 30 million people.",Gift of Central Outdoor Advertising Co.,アメリカ太平洋地域研究センター,静止画資料,英語,0047,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c43167cf-38df-6a95-0a11-91491ad26afc.json,c43167cf-38df-6a95-0a11-91491ad26afc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/c43167cf-38df-6a95-0a11-91491ad26afc,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3ddb6329b797ba2754d24f0f3c7eede2501c353.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654478,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c43167cf-38df-6a95-0a11-91491ad26afc/manifest,,,,,1
Capitalist . . . American style,50,資本主義者...これぞアメリカ流,,Republic Steel,,710×559,Business,"Capitalist . . . American style / He’s in business for himself, this kid. / He invests his own money in his newspapers because he has confidence in his own ability to sell them at a profit. / He has learned by experience that business grows through hard work, salesmanship and thrift. / He gets plenty of hard knocks—but profits by them. / He knows what competition means—and has learned to meet it. / He uses his wits. / He gets ahead. / He is capitalist, laborer and consumer combined. / He is typically American. / Multiply this boy by millions—and you’ll see what makes America tick. / We’re all capitalists in America. We don’t wear cut-away coats and plug hats. We wear overalls—work in our shirt sleeves. / We carry life insurance, or have savings accounts, or hold war bonds, or own farms, garages, fruit stands, drug stores, or other businesses—large and small. And as capitalists we are all interested in a fair return on our money. / All of us labor for a living. And as laborers we are all interested in making as much money as possible by producing more goods and services for more people. / At the same time we are all consumers. We buy food, clothing, shelter, luxuries. And as consumers we are interested in fair prices, honest values, good service. / Like the newsboy, each one of us is a combination of capitalist, laborer and consumer. / Each of us is free to take his own future in his own hands—and pull himself up by his bootstraps. That is the grand American privilege. It makes newsboys into business men—shop workers into industrial leaders and successful farmers out of chore boys. / There are no restrictions on ability in America—and there must be none. / For as business, industry and agriculture grow in this country, more jobs are created. More people benefit. More men, starting at the bottom, reach the top. New products are made. Production goes up. Prosperity follows. Higher standards of living are provided for more people. A desire for still better things is created. / That’s progress. That’s free enterprise. That’s AMERICA. / We Americans have always had a better chance to get ahead than any other people in the world. That’s because we’ve always pulled together, making better things, better jobs and greater happiness for more and more people. That’s the American Way—and every American knows that it works. More than 30 million will see this message in the October 7 Saturday Evening Post and other leading publications.|同社は反労働組合、右翼支持で知られていた。",Oct. 7 Saturday Evening Post,アメリカ太平洋地域研究センター,静止画資料,英語,0048,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/052fd773-0007-0789-3a9a-696011d13dbc.json,052fd773-0007-0789-3a9a-696011d13dbc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/052fd773-0007-0789-3a9a-696011d13dbc,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/28c3e014daecc91bf40fef3cba60020bfecddc4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654477,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/052fd773-0007-0789-3a9a-696011d13dbc/manifest,,,,,1
Beat the promised date! Let's keep 'em pulling for victory,51,納品日より更に早く!勝利のために進み続けよう,,General Motors Corporation,,1021×765,Business,Beat the promised date! / Let's keep 'em pulling for victory|GMCシリーズ。ジェネラル・モーターズ社は戦時中、需要に応じて軍用トラックの製造に力を注ぐ一方で、民間用トラック、バスの製造も戦争遂行の一助となることを訴えている。,GMC-A,アメリカ太平洋地域研究センター,静止画資料,英語,0049,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e22b1c7a-0edd-6c30-2542-d10ce7319de9.json,e22b1c7a-0edd-6c30-2542-d10ce7319de9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/e22b1c7a-0edd-6c30-2542-d10ce7319de9,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5d8b9006c08a3d520536fa070ceaa9481875d8b3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654476,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e22b1c7a-0edd-6c30-2542-d10ce7319de9/manifest,,,,,1
Transporting troops or war workers. Let's keep 'em pulling for victory,52,部隊、そして戦争労働者を運べ――勝利のために進み続けよう,,General Motors Corporation,,1005×751,Business,Transporting troops or war workers / Let's keep 'em pulling for victory|GMCシリーズ,GMC-G,アメリカ太平洋地域研究センター,静止画資料,英語,0050,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c84a66b3-0585-9d8a-9889-ef075e1418ea.json,c84a66b3-0585-9d8a-9889-ef075e1418ea,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/c84a66b3-0585-9d8a-9889-ef075e1418ea,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7045c87ffb9cafa671a4ddc7a70ff6613db18817.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654475,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c84a66b3-0585-9d8a-9889-ef075e1418ea/manifest,,,,,1
On battle lines or transport lines—Let's keep 'em pulling for victory,53,戦闘最前線、また輸送部隊にて――勝利のために進み続けよう,,General Motors Corporation,,1001×750,Business,On battle lines or transport lines— / Let's keep 'em pulling for victory|GMCシリーズ,GMC-L,アメリカ太平洋地域研究センター,静止画資料,英語,0051,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/66792945-7c51-8e90-58f5-7259185c01ed.json,66792945-7c51-8e90-58f5-7259185c01ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/66792945-7c51-8e90-58f5-7259185c01ed,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f760446c62671c50f66c29c56db1b8c6efa37647.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654474,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/66792945-7c51-8e90-58f5-7259185c01ed/manifest,,,,,1
Hauling guns or goods. Let's keep 'em pulling for victory,54,武器や物資を輸送......勝利のために進み続けよう,,General Motors Corporation,,1005×749,Business,Hauling guns or goods / Let's keep 'em pulling for victory|GMCシリーズ,GMC-T,アメリカ太平洋地域研究センター,静止画資料,英語,0052,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc364ee4-88e5-1eb9-8923-cbad8d9e4d68.json,bc364ee4-88e5-1eb9-8923-cbad8d9e4d68,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/bc364ee4-88e5-1eb9-8923-cbad8d9e4d68,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2e42a52f38d0468c683fe650e3f293f010967bf9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654473,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc364ee4-88e5-1eb9-8923-cbad8d9e4d68/manifest,,,,,1
"""Soldiers three""—all GMC. Let's keep 'em pulling for victory",55,「三人の兵士」全てGMC――勝利のために進み続けよう,,General Motors Corporation,,1005×751,Business,"""Solders three""—all GMC / 1 Army Trucks / 2 Army coaches / 3 Commercial trucks / Let's keep 'em pulling for victory|GMCシリーズ",GMC-U,アメリカ太平洋地域研究センター,静止画資料,英語,0053,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/55a4b582-66da-60df-0bb1-608d375aa0a6.json,55a4b582-66da-60df-0bb1-608d375aa0a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/55a4b582-66da-60df-0bb1-608d375aa0a6,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5961ef8a56cc8a269e29f26cd9fa17ccfacfeab.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654472,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/55a4b582-66da-60df-0bb1-608d375aa0a6/manifest,,,,,1
Let him always wake unharmed! Keep America free!,56,この子が毎朝無事に目を覚ませるように!――アメリカの自由を守れ,,General Motors Corporation,1942,1038×789,Business,Let him always wake unharmed! / Keep America free!|GMCシリーズ,,アメリカ太平洋地域研究センター,静止画資料,英語,0054,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fca86240-7fdd-2a1d-02b7-a7770bc01643.json,fca86240-7fdd-2a1d-02b7-a7770bc01643,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/fca86240-7fdd-2a1d-02b7-a7770bc01643,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a7b92101f9cbc32854e0101d7eb0808c3142bde.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654471,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fca86240-7fdd-2a1d-02b7-a7770bc01643/manifest,,,,,1
It's a two fisted fight. Keep 'em fighting!,57,これは2つの分野の戦いだ――戦闘継続を支援しよう!,,General Motors Corporation,1942,1038×786,Business,It's a two fisted fight / Keep 'em fighting!|GMCシリーズ,,アメリカ太平洋地域研究センター,静止画資料,英語,0055,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d505ee0c-7acd-5510-6f1d-f897f32200d3.json,d505ee0c-7acd-5510-6f1d-f897f32200d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/d505ee0c-7acd-5510-6f1d-f897f32200d3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/566bfb22fefbb2e0404472642ed8d95a0ee15ed2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654470,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d505ee0c-7acd-5510-6f1d-f897f32200d3/manifest,,,,,1
