タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
ならのみくら削繁(ナラ ノ ミクラ サクハン) / 小椙椙邨原撰. [写本],ナラ ノ ミクラ サクハン,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名及び責任表示は巻頭による ; 写本 ; 和装. 袋綴じ",鴎G29:147,全頁,"東大寺正倉院の発祥から明治18年(1885)10月に至るまでの歴史、特に正倉院御物にまつわる事柄を記録した文書。『好古類纂』第2編第2集(1904年)所収の小椙榲邨《こすぎすぎむら》「ならのみくら(未完)」を鴎外が抄写したもの。本文中の元号に該当する西暦が欄外に朱筆で書入れられている。 本書の原著者である小椙榲邨は、古典・古美術の学者であり、帝室博物館監査掛を務めた人物である。歿後の大正6年(1917)3月に小椙旧臓の正倉院御物の流出売却事件が新聞で報じられており、鴎外の帝国博物館総長就任は、この事件に伴う人事異動が背景にあったと言われている。(目)|参考文献: 東野治之「小椙榲邨旧臓の正倉院及び法隆寺献納御物-その売却事件と鴎外の博物館総長就任-」(直木孝次郎先生古稀記念会編『古代史論集』下,塙書房,1989年)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bb798beb-81b2-48a7-b310-83db229602b3.json,bb798beb-81b2-48a7-b310-83db229602b3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bb798beb-81b2-48a7-b310-83db229602b3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7379322c49129193411aa13b6dcf436ac8d5e76a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/508,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bb798beb-81b2-48a7-b310-83db229602b3/manifest,,,,,14
升堂門生録(ショウドウ モンセイロク) . [写本],ショウドウ モンセイロク,"([製作地不明] : 森鴎外, 1917.4) 8丁 ; 24cm 注記: 書名は巻頭による ; 題簽の書名: 錦橋門生録 ; 写本 ; 巻末に「以上借吉永卯太郎蔵本抄之丁巳四月二十八日午前源湛」とあり ; 和装. 袋綴じ",鴎H20:506,全頁,「錦橋」は池田京水の父、池田錦橋。本書のもととなるのは錦橋の『新刊痘科弁要』、安井息軒『弁妄』とその附録『異証治験十一條』である。巻末に、「以上借吉永卯太郎蔵本抄之丁巳四月二十八日午前源湛」との識語があり、鴎外は大正6年(1917)に、吉永卯太郎の蔵本を用いて以上の書から人名を抄出している。吉永卯太郎は北九州の歴史家、黄檗宗の研究家。『伊澤蘭軒』資料の一つであろう。(多)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbfbd34b-50ab-4284-860d-355cacdab65f.json,bbfbd34b-50ab-4284-860d-355cacdab65f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bbfbd34b-50ab-4284-860d-355cacdab65f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a3c10d8d7db3bf57796dbb4e735500c6dfa4d584.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/509,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbfbd34b-50ab-4284-860d-355cacdab65f/manifest,,,,,11
博物志 10巻續10巻(ハクブツシ) / (晉)張華撰 ; (宋)周日用[ほか]注.,ハクブツシ,"[京] : 伏見屋藤右衛門, 天和3.1[1683][印] 4冊 ; 28cm -- 卷之1-5 - 續卷第6-10 内容: 續博物志 10巻 / (宋)李石撰 注記: 序の書名: 正續博物志 ; 版心の書名: 物志 ; 嘉靖10年序刊本の翻刻 ; 四周単辺無界 ; 訓点付 ; 朱筆書き入れあり ; 印記: 「周急舍藏書章」",鴎A90:2630,書入頁,正篇は晋の張華の撰、続篇は宋の李石の撰と伝えられる。地理・物産・動植物・歴史人物の故事などを雑記した書。 1冊目の表紙に朱筆で「明治二十一年冬」とあって、ドイツより帰国した直後に求めた本のようである。書入れは朱筆で傍点や注記など。独語で記されたものが多い。医学薬学や自然科学関係の注記が多いように思われる。続篇巻九に「脚気」との書入れがあるのも注目される。(梅),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbfeef4a-a99a-4179-ad5a-c51908c7d84b.json,bbfeef4a-a99a-4179-ad5a-c51908c7d84b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bbfeef4a-a99a-4179-ad5a-c51908c7d84b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f8683dc67910183dc620fc933456a6fcdff6e019.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/510,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbfeef4a-a99a-4179-ad5a-c51908c7d84b/manifest,,,,,30
Der Hüttenbesitzer : Roman / von Georges Ohnet ; autorisierte Uebersetzung aus dem französischen von J. Linden.,Der Hüttenbesitzer : Roman / von Georges Ohnet ; autorisierte Uebersetzung aus dem französischen von J. Linden.,"Stuttgart : J. Engelhorn, 1884. 2 v. ; 18 cm. -- (Engelhorns Allgemeine Romanbibliothek ; 1. Jahrg., Bd. 1-2) 注記: Translation of: Le maître de forges",鴎E300:536,書入頁,"ジョルジュ・オーネ『製鋼技師』のドイツ語訳。 下巻最終頁に「明治十八年三月十五日夜読了独逸国来責府谿街賃舎燈下」との書入れがあり、ドイツ留学中、ライプチヒで読まれた本であることが分かる。 作者オーネはフランスの小説家・劇作家で、『独逸日記』(全集35巻)明治18年(1885)8月13日の条には「仏蘭の名匠」として言及されている。「人生の戦い」という連作小説があり、本書もその一編である。(河・山)|参考文献: 寺内ちよ「ドイツ時代の鴎外の読書調査−資料研究−」(『比較文学研究』4巻1・2号,1957年6月)",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd0d452f-f370-46f3-9296-a9764d77ed40.json,bd0d452f-f370-46f3-9296-a9764d77ed40,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bd0d452f-f370-46f3-9296-a9764d77ed40,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b66fc4611f183e4608f1f289fbc7abb5bc4b1145.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/511,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bd0d452f-f370-46f3-9296-a9764d77ed40/manifest,,,,,3
演劇改良意見(エンゲキ カイリョウ イケン) / 末松謙澄述.,エンゲキ カイリョウ イケン,"東京 : 文學社, 1886.11 76p ; 19cm 注記: 市東謙吉筆記",鴎F70:51,書入頁,"演劇改良運動の主導者である明治大正期の政治家末松謙澄による演説を評論にまとめたもの。鴎外の書き入れは、傍線や、「名文句」「女優」などといったキーワードの抜書きなどである。本書が刊行された明治19年(1886)には、鴎外はドイツに留学しており、いつ読書が行われたかは定かではない。だが、同書の内容を踏まえて、明治22年(1889)に「演劇改良論者の偏見に驚く」や「再び劇を論じて世の評家に答ふ」(全集22巻)を発表しているので、それ以前の書入れと思われる。 末松は、本書において、歌舞伎など従来の日本の演劇のあり方を批判的に捉え、西欧型の劇場や脚本の改良、女形にかわる女優の登用などを説いた。これに対し、鴎外は、演劇における脚本(=戯曲)の重要性を唱え、劇場改良ばかりに目を向ける当時の改良運動の方向性に疑問を投げかけた。(神)|関連作品: 「演劇改良論者の偏見に驚く」(全集22巻)|関連作品: 「再び劇を論じて世の評家に答ふ」(全集22巻)|参考文献: 竹盛天雄「後れてきた演劇改良論者としての鴎外と『折薔薇』の翻訳」(平川祐弘・平岡敏夫・竹盛天雄編『講座森鴎外』第3巻 鴎外の知的空間,新曜社,1997年)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd84c5ae-79cd-4d0a-a5fa-1df89532f7c9.json,bd84c5ae-79cd-4d0a-a5fa-1df89532f7c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bd84c5ae-79cd-4d0a-a5fa-1df89532f7c9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c8788bd4ffa34a7104b8aa24ac12687ce6a398d5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/512,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bd84c5ae-79cd-4d0a-a5fa-1df89532f7c9/manifest,,,,,22
興津家由緒書(オキツケ ユイショガキ) / [興津宗也録]. [写本],オキツケ ユイショガキ,"([製作地不明] : [製作者不明], [1---]) 1冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:432,全頁,"改稿『興津弥五右衛門の遺書』の資料。鴎外は初稿『興津弥五右衛門の遺書』を大正元年(1912)10月の『中央公論』に掲載したが、その後、本書及び『興津又二郎覚書』(鴎H20:442)・『忠興公御以来御三代殉死之面々』(鴎H20:530)を入手し、これらに従って改稿を加え、単行本『意地』(籾山書店,大正2年6月)に収めた。大正元年12月22日の日記に、「興津の子孫の事に就きて賀古鶴所と往復す」とあり、この前後に入手したものと思われる。また翌2年(1913)の4月3日の日記には、「夕より興津弥五右衛門に関する史料を整理す」とある。(出)|関連作品: 『興津弥五右衛門の遺書』(全集10巻)|参考文献: 尾形仂『森鴎外の歴史小説 史料と方法』筑摩書房,1979年|参考文献: 蒲生芳郎『鴎外の歴史小説 その詩と真実』春秋社,1983年|参考文献: 福本彰『鴎外歴史小説の研究−「歴史其儘」の内実−』和泉書院,1996年|翻刻: 『鴎外歴史文学集』第2巻,岩波書店,2000年(部分)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd8cad42-a42a-475d-b959-09fa10d6ebf0.json,bd8cad42-a42a-475d-b959-09fa10d6ebf0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bd8cad42-a42a-475d-b959-09fa10d6ebf0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e0fe60280e03b548ad4bcc08e313969510abb1f3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/513,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bd8cad42-a42a-475d-b959-09fa10d6ebf0/manifest,,,,,26
遷都捷見(セント ショウケン) / 岡本保孝著. [写本],セント ショウケン,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名及び責任表示は巻頭による ; 写本 ; 巻首に「寛文年間、平本定智作遷都攷、刊行于世、今抄其要、且附一二管見、其所附者置圏以識別焉」とあり ; 和装. 袋綴じ",鴎G29:129,全頁,神武天皇から南北朝時代までの歴代天皇によって置かれた都を、地名別に分類したノート。全丁鴎外の自筆による。巻首には、著者の岡本保孝《おかもとやすたか》によって「寛文年間、平本定智作遷都攷、刊行于世、今抄其要、且附一二管見、其所附者置圏以識別焉」と記されており、寛文年間に書かれた平本定智《ひらもとさだとも》著『遷都攷』の大要と、岡本自身の考えを補記した書と考えられる。ただし、底本は未詳である。(目),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bdbd0a74-37f1-4590-9356-feb606434108.json,bdbd0a74-37f1-4590-9356-feb606434108,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bdbd0a74-37f1-4590-9356-feb606434108,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a282bbb4106b68ef625e3ab9d86030976c8b8c4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/514,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bdbd0a74-37f1-4590-9356-feb606434108/manifest,,,,,11
水戸文籍考抄本(ミト ブンセキコウ ショウホン) / 清水正健撰. [写本],ミト ブンセキコウ ショウホン,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名及び責任表示は巻頭による ; 題簽の書名: 水戸文籍考 ; 写本 ; 和装. 袋綴じ",鴎A10:210,全頁,"鴎外の晩年に作られた自筆抄本。『水戸文籍考』は清水正健の著書で、水戸光圀を始め、水戸藩の文人の簡単な伝記事項と、著書などを列記した書物である。それを鴎外が人名、字、生没年、著書名などを中心に抄写している。(神)|参考文献: 清水正健編『水戸文籍考』須原屋書店・川又書店,1922年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bdfb125f-ddf0-4b40-852b-181e1df8b4a0.json,bdfb125f-ddf0-4b40-852b-181e1df8b4a0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bdfb125f-ddf0-4b40-852b-181e1df8b4a0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f50c8a5ec507ea536f4eb3f788175087f5343a1d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/515,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bdfb125f-ddf0-4b40-852b-181e1df8b4a0/manifest,,,,,49
菅詩葦川註(カンシ イセンチュウ) . [写本],カンシ イセンチュウ,"([製作地不明] : [森鴎外], [1---]) 27丁 ; 24cm 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎H20:466,全頁,菅茶山の詩集『黄葉夕陽村舎詩』に登場する人名について、藤井葦川の『黄葉夕陽村舎詩欄外書』を参照しつつ、鴎外が作成したノート。散見する朱筆も含めて、全丁鴎外の自筆である。『北条霞亭』の資料となった。同作のその九十一には、「備後の人藤川葦川の黄葉夕陽村舎詩欄外書には定之丞に作つてある」との記述があるが、この「藤川」は「藤井」の誤りであり、その百四では「茶山集の藤井葦川の註に拠るに」と正しく記されている。(出)|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be21b521-e949-4390-ab6d-7b0ae1eba104.json,be21b521-e949-4390-ab6d-7b0ae1eba104,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/be21b521-e949-4390-ab6d-7b0ae1eba104,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f96717346bf7c894203c579d1f50f8df00822961.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/516,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be21b521-e949-4390-ab6d-7b0ae1eba104/manifest,,,,,30
石點頭 14巻(セキテントウ) / (明)天然癡叟著 ; (明)墨憨主人評.,セキテントウ,"金閶 : 葉敬池, [萬暦崇禎間] 8冊 ; 25cm -- 第1卷 - 第13-14卷 注記: 封面の書名: 繡像傳奇石點頭 ; 口絵あり ; 四周単辺無界 ; 補鈔あり ; 朱墨書入れあり ; 印記: 「市川氏圖書記」",鴎E46:149,書入頁の一部(文字書入のみ),"『石点頭』は明代の擬話本小説集。全14巻で、独立した短編14編を収める。別名「醒世第二奇書」。本蔵書は金閭葉敬池梓とあり、天然痴叟著、墨憨主人評、龍子猶の序。「墨憨主人」と「龍子猶」は馮夢龍のことであるが、「天然痴叟」については不明。中に同性愛を扱った話が含まれるため中国では清代に「禁書」とされた。日本には近世後期に舶来されており、これを翻訳・翻案した作品も書かれている。 鴎外が青年期に愛読したらしい『情史類略』(鴎E46:148)の巻三の書入れに「石点頭亦載此事大同小異」といった言及が見られることから、本書もドイツ留学以前に繙読された可能性が高い。全体にわたり朱もしくは墨で句読、傍線・注記が施されており、全巻ではないものの精読されたと見られる。また数箇所、欠丁部分を自筆で補っている。(梅)|参考文献: 前田愛「鴎外の中国小説趣味」(『言語と文芸』38号,1965年1月)|参考文献: 中村幸彦「白菊奇談と石点頭」(『語文研究』23号,1967年2月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfdc52ad-1b0a-4cdd-9727-7500ac5d33fc.json,bfdc52ad-1b0a-4cdd-9727-7500ac5d33fc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/bfdc52ad-1b0a-4cdd-9727-7500ac5d33fc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d6e7e647e164da33a5e75501e106ad172511a80.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/517,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfdc52ad-1b0a-4cdd-9727-7500ac5d33fc/manifest,,,,,33
Geschichte der Philosophie im Umriß : ein Leitfaden zur Übersicht / von Albert Schwegler.,Geschichte der Philosophie im Umriß : ein Leitfaden zur Übersicht / von Albert Schwegler.,"14. Aufl. / durchgesehen und ergänzt von R. Koeber. Stuttgart : C. Conradi, 1887. iv, 372 p. ; 22 cm.",鴎A100:1073,書入頁,"現在流通している邦訳にない、ショーペンハウエル(A.Schopenhauer)とハルトマン(E.Hartman)についての2章が、1887年の改訂によって加えられた本。鴎外の書き込みは1887年のドイツ留学中(黒インク)と帰国後(朱筆)とに時期がわかれ、新プラトン学派などの章における朱筆の日本語書き込みには没理想論争の中で逍遥を「Idealist」と捉えた見方が表れている。 対して留学中の書き込みは全てドイツ語か漢文であり、その夥しい量とともに西洋認識論に寄せられた関心の質がうかがえる。同時に「荘云」として荘子の言を引いたものや、神的なものと人間的なものの合一という観点に対して「所謂覚是也」といった註がある事も興味ぶかい。鴎外の認識論は漢文で著された仏教哲理のそれに親しいものがあり、その意味で本書の書き込みは今回同時に画像化される『唯識抄』『華厳五教章』などへの書き込みと対比されつつ読まれる必要があるだろう。(多)|翻刻: ヨーゼフ・フュルンケース・和泉雅人・村松真理・松村友視「シュヴェーグラー『西洋哲学史』への森鴎外自筆書き込み−翻刻および翻訳−」(『芸文研究』86号,2004年6月)",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2ad4972-2429-42d4-9a56-9c00cb4c4776.json,c2ad4972-2429-42d4-9a56-9c00cb4c4776,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/c2ad4972-2429-42d4-9a56-9c00cb4c4776,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4492ad5a7c9a1b026682cfb0387c0d4665e0870e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/518,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2ad4972-2429-42d4-9a56-9c00cb4c4776/manifest,,,,,132
Das verlorene Paradies : ein Gedicht in zwölf Gesängen / von John Milton ; Deutsch von Adolf Böttger.,Das verlorene Paradies : ein Gedicht in zwölf Gesängen / von John Milton ; Deutsch von Adolf Böttger.,"Leipzig : P. Reclam, [1---]. 313 p. ; 15 cm. -- (Universal-Bibliothek ; 2191,2192)",鴎E200:2866,書入頁,ジョン・ミルトン『失楽園』。鴎外はドイツ留学中にドイツ文学だけでなくヨーロッパ文学のドイツ語訳作品を多読したが、その多くがレクラム百科文庫 “Universal-Bibliothek” シリーズのものであった。鴎外文庫には、留学中に購入したもの、帰国後に取り寄せたものを含めこのシリーズの書籍が100点以上所蔵されているが、その中にはアリストテレス、プルタルコスなどの古典、ツルゲーネフやディケンズなどの19世紀小説、デカルトやトマス・モアの哲学書が含まれており、鴎外がこれらの書籍を収集して世界文学や古典を意識的に幅広く読んでいたことが分かる。本書には「光」「天神偏観」(第3歌)、「天兵与魔軍戦」(第6歌)など、場面のまとめやあらすじとみられる書入れがある。(河),洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c35889d0-5709-4a13-8f1c-9a9afc2442e6.json,c35889d0-5709-4a13-8f1c-9a9afc2442e6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/c35889d0-5709-4a13-8f1c-9a9afc2442e6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/60a5c0c6c7c91479b36d5e03fde466f007da3c05.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/519,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c35889d0-5709-4a13-8f1c-9a9afc2442e6/manifest,,,,,34
沖虚至徳眞經 8巻(チュウキョ シトク シンキョウ) / (晋)張湛註 ; (唐)殷敬順釋文.,チュウキョ シトク シンキョウ,"東武 : 野田太兵衞 皇都 : 梅村彌右衞門 : 山本平左衞門, 延享4.7[1747][刊] 2冊 ; 27cm -- 卷第1-3;卷第4-8 注記: 目首の書名: 沖虚眞經 ; 序及び題簽の書名: 列子 ; 世徳堂刊本の翻刻 ; 四周双辺有界 ; 頭注あり ; 訓点付 ; 朱墨書き入れあり ; 印記: 「凔江藏書」",鴎B60:1052,書入頁の一部(欧文書入のみ),本書は『列子』とも呼ばれる。中国古代の思想家列子が著したとされ、道家の代表的な著作として知られている。「Genusstheorie!」(=享楽主義、巻七)などといったドイツ語の語彙が記されており、中国の古典を、西洋の概念などによって整理しながら読んでいたことが分かる。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c3efaa07-a181-47ab-b873-73b192a9d2d4.json,c3efaa07-a181-47ab-b873-73b192a9d2d4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/c3efaa07-a181-47ab-b873-73b192a9d2d4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db738bcf1c92957ea96b54b4709cd021f5504a12.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/520,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c3efaa07-a181-47ab-b873-73b192a9d2d4/manifest,,,,,6
